epoch,iter,loss_cons,loss_det_A,loss_det_B,num_pairs,dim_diff,angle_diff
1,352,0.166578,22.1706,21.8168,26,0.049161,0.117417
1,360,0.145651,24.4061,24.6858,29,0.032449,0.113203
1,368,0.13879,21.3464,21.4331,39,0.040703,0.098087
1,376,0.17149,23.2644,23.0921,8,0.050954,0.120536
1,384,0.113126,25.8061,26.1253,16,0.030721,0.082405
1,392,0.16031,24.7887,24.7,30,0.038782,0.121528
1,400,0.159837,25.058,25.6407,15,0.038862,0.120975
1,408,0.168053,21.3892,19.7606,23,0.04291,0.125143
1,416,0.148158,24.1616,24.1657,26,0.035664,0.112494
1,424,0.168549,19.578,20.4415,27,0.048577,0.119972
1,432,0.150629,21.8209,22.0122,40,0.042066,0.108562
1,440,0.150577,22.4783,22.743,19,0.033717,0.11686
1,448,0.18811,20.5017,21.6563,9,0.037509,0.150601
1,456,0.165564,21.3834,21.8268,27,0.039959,0.125605
2,0,0.159387,21.2959,21.122,15,0.041879,0.117508
2,8,0.158777,21.5325,22.0392,39,0.038879,0.119897
2,16,0.157369,16.9677,18.1456,13,0.04456,0.112809
2,24,0.131902,19.554,18.39,16,0.032978,0.098925
2,32,0.159466,25.8798,28.0597,11,0.038603,0.120863
2,40,0.191584,20.2853,19.4392,31,0.043963,0.147621
2,48,0.173528,19.7942,20.8801,13,0.043656,0.129872
2,56,0.147926,20.1874,20.7069,24,0.042271,0.105655
2,64,0.155274,21.9047,20.8778,27,0.042924,0.11235
2,72,0.142501,22.4997,22.1705,19,0.038297,0.104204
2,80,0.164997,22.691,23.2468,27,0.041372,0.123625
2,88,0.141487,20.2813,20.3756,26,0.040451,0.101036
2,96,0.149588,17.9969,18.5561,8,0.027198,0.12239
2,104,0.193916,24.818,23.086,9,0.034612,0.159304
2,112,0.130896,23.0564,22.7165,17,0.03275,0.098146
2,120,0.134764,18.6033,19.2624,17,0.036758,0.098006
2,128,0.143016,19.2702,19.5532,30,0.032507,0.110509
2,136,0.157463,19.2249,19.8365,18,0.043968,0.113496
2,144,0.136562,19.4548,18.9969,24,0.033947,0.102615
2,152,0.147214,20.9255,20.9868,33,0.034378,0.112836
2,160,0.203989,23.3714,22.5379,17,0.040534,0.163455
2,168,0.161815,16.6996,17.4448,11,0.049917,0.111898
2,176,0.179981,19.7447,19.7473,15,0.040882,0.139098
2,184,0.164753,19.913,18.3769,25,0.040453,0.1243
2,192,0.170354,19.7324,20.1017,22,0.039226,0.131128
2,200,0.168301,21.5942,22.0752,22,0.038675,0.129626
2,208,0.176658,24.5868,25.2375,34,0.034411,0.142247
2,216,0.17903,23.0013,24.202,21,0.039506,0.139525
2,224,0.164298,18.959,20.508,21,0.03976,0.124538
2,232,0.162159,22.2669,23.4777,26,0.042634,0.119526
2,240,0.165698,20.6796,19.7134,22,0.041871,0.123827
2,248,0.176721,20.9498,19.3941,14,0.036057,0.140664
2,256,0.163436,20.1095,20.5146,30,0.035481,0.127955
2,264,0.150112,16.9352,18.1287,24,0.035886,0.114226
2,272,0.1688,21.1006,21.4082,22,0.042655,0.126146
2,280,0.153944,21.2934,21.973,14,0.040984,0.112961
2,288,0.179417,20.6189,19.7925,34,0.029676,0.149741
2,296,0.184869,24.8832,23.4013,14,0.037001,0.147868
2,304,0.179434,20.5789,22.7274,19,0.042254,0.13718
2,312,0.166354,16.7355,16.5343,13,0.042318,0.124037
2,320,0.160984,19.702,20.152,21,0.035668,0.125316
2,328,0.2208,22.6264,23.1014,20,0.03742,0.18338
2,336,0.185958,18.7003,18.4309,38,0.038214,0.147744
2,344,0.170249,19.671,19.6314,29,0.035162,0.135087
2,352,0.183902,19.3238,17.8583,19,0.030537,0.153365
2,360,0.217114,21.0323,20.625,25,0.038311,0.178803
2,368,0.160922,16.9142,15.4122,21,0.041131,0.11979
2,376,0.159254,21.2397,21.3679,26,0.038654,0.1206
2,384,0.215824,26.6355,26.4749,17,0.041177,0.174647
2,392,0.178684,19.2079,19.1047,12,0.050119,0.128566
2,400,0.203599,20.6314,21.0096,23,0.034284,0.169315
2,408,0.20917,20.6258,22.0128,27,0.043356,0.165814
2,416,0.17119,19.6289,18.6585,36,0.032396,0.138794
2,424,0.181239,19.448,18.5704,40,0.032394,0.148845
2,432,0.165194,18.3459,19.1622,51,0.035003,0.130191
2,440,0.125336,23.5053,23.261,9,0.023353,0.101983
2,448,0.16556,17.8636,18.1581,30,0.032422,0.133138
2,456,0.163977,18.6908,18.0772,9,0.026554,0.137423
3,0,0.178267,18.514,18.5624,27,0.03388,0.144387
3,8,0.207919,18.1756,19.431,12,0.036949,0.17097
3,16,0.1882,19.6504,20.9018,28,0.035749,0.152451
3,24,0.192703,21.4898,21.7873,16,0.050667,0.142035
3,32,0.185929,15.1741,15.3471,14,0.042905,0.143024
3,40,0.195884,19.8583,19.7666,20,0.039892,0.155992
3,48,0.207868,22.088,21.3127,35,0.042533,0.165335
3,56,0.197948,21.0561,20.7869,21,0.041125,0.156824
3,64,0.217941,16.9349,16.4943,24,0.037162,0.180779
3,72,0.186892,20.7528,19.8163,41,0.035314,0.151578
3,80,0.17339,18.3254,18.8974,33,0.034729,0.138661
3,88,0.170325,19.8215,20.266,34,0.036224,0.1341
3,96,0.153516,16.929,18.6788,25,0.032421,0.121095
3,104,0.25298,20.6275,19.3912,19,0.040434,0.212546
3,112,0.198428,17.5031,17.564,20,0.03829,0.160139
3,120,0.15649,20.2127,19.7352,23,0.029394,0.127095
3,128,0.187667,17.9707,18.1356,28,0.038485,0.149182
3,136,0.173806,18.31,18.0406,27,0.042761,0.131045
3,144,0.195254,17.0295,16.3211,19,0.041154,0.154101
3,152,0.219074,19.1071,18.2612,25,0.039685,0.179389
3,160,0.175297,20.6737,20.509,39,0.039909,0.135388
3,168,0.199904,17.6684,17.8442,34,0.038536,0.161368
3,176,0.196185,21.0972,21.6421,29,0.035159,0.161026
3,184,0.189536,17.8107,16.4335,19,0.036568,0.152968
3,192,0.18051,18.6336,19.4344,33,0.040014,0.140496
3,200,0.181118,18.1513,18.2502,48,0.037872,0.143246
3,208,0.216746,18.5558,19.4086,27,0.037288,0.179458
3,216,0.188924,19.2874,17.8263,14,0.035083,0.15384
3,224,0.199881,17.1809,16.7146,24,0.037514,0.162366
3,232,0.209766,18.4791,18.1497,24,0.041036,0.16873
3,240,0.193518,19.5568,21.0611,30,0.03413,0.159387
3,248,0.174582,20.3716,21.0546,27,0.036585,0.137997
3,256,0.237539,17.0952,18.0866,14,0.041238,0.196302
3,264,0.186959,18.296,18.1363,16,0.035724,0.151235
3,272,0.161382,20.9697,23.2188,13,0.02873,0.132652
3,280,0.215491,15.9361,15.9163,28,0.043377,0.172114
3,288,0.204749,19.9423,18.1058,23,0.032849,0.1719
3,296,0.142877,19.0828,18.6688,21,0.030202,0.112675
3,304,0.225476,19.738,18.4343,25,0.049476,0.176
3,312,0.216373,19.4071,18.8812,21,0.041874,0.174499
3,320,0.228374,18.7602,19.4266,38,0.047613,0.180761
3,328,0.188723,18.204,18.1752,15,0.031545,0.157178
3,336,0.183425,18.0749,18.4458,27,0.031961,0.151464
3,344,0.182278,16.3599,15.8494,48,0.039206,0.143072
3,352,0.144502,16.0267,15.3653,12,0.037095,0.107407
3,360,0.21771,17.8964,18.7735,19,0.035435,0.182275
3,368,0.219267,19.3744,19.8844,36,0.038954,0.180313
3,376,0.193306,16.8136,18.652,30,0.034737,0.158569
3,384,0.201211,17.6272,17.6632,51,0.033229,0.167982
3,392,0.204659,19.3753,19.8115,23,0.032071,0.172589
3,400,0.171778,16.525,16.5611,34,0.035323,0.136455
3,408,0.203221,16.3123,16.8071,21,0.038683,0.164538
3,416,0.165225,16.7664,16.5627,18,0.031754,0.133472
3,424,0.171558,19.101,18.3517,17,0.038848,0.13271
3,432,0.224818,18.6608,18.3822,24,0.039321,0.185497
3,440,0.216247,19.0309,21.4151,23,0.044113,0.172134
3,448,0.214683,19.8336,20.0573,26,0.041651,0.173032
3,456,0.178776,16.1842,14.7366,28,0.036833,0.141943
4,0,0.212836,14.9308,15.3438,26,0.035414,0.177422
4,8,0.228786,16.8706,17.8325,19,0.029483,0.199303
4,16,0.190598,16.203,16.2341,22,0.030953,0.159645
4,24,0.199922,21.1692,19.5683,14,0.026853,0.17307
4,32,0.19424,20.4282,20.3991,27,0.040087,0.154153
4,40,0.171478,17.6008,19.0497,23,0.036296,0.135182
4,48,0.231784,16.9939,19.2084,18,0.053508,0.178276
4,56,0.220384,18.7232,17.7598,25,0.040957,0.179428
4,64,0.224885,16.3417,16.7991,29,0.039118,0.185767
4,72,0.202966,16.9669,17.194,26,0.033709,0.169256
4,80,0.211895,19.7224,19.8723,14,0.035986,0.175909
4,88,0.217544,20.2851,20.6057,15,0.030393,0.187151
4,96,0.23172,18.0988,19.9541,30,0.040505,0.191215
4,104,0.216144,20.0744,18.5664,31,0.033611,0.182534
4,112,0.160089,17.1973,17.4062,23,0.031386,0.128703
4,120,0.206219,19.4786,19.5293,29,0.039574,0.166644
4,128,0.183596,15.8876,16.1319,38,0.035714,0.147882
4,136,0.169532,14.6823,15.4684,21,0.032439,0.137093
4,144,0.207245,15.1437,17.0432,18,0.033644,0.173601
4,152,0.208021,16.0674,15.7699,23,0.040809,0.167212
4,160,0.230594,20.775,21.9181,25,0.045726,0.184869
4,168,0.222957,17.2889,18.1904,6,0.025325,0.197632
4,176,0.174507,16.5315,14.729,13,0.041917,0.13259
4,184,0.251644,15.4628,17.0418,25,0.036679,0.214965
4,192,0.210355,15.5407,14.9869,12,0.037123,0.173232
4,200,0.216933,16.7884,16.5763,42,0.044383,0.17255
4,208,0.21428,14.6991,14.8098,14,0.037688,0.176593
4,216,0.189719,16.9785,16.5822,30,0.034569,0.15515
4,224,0.176529,16.1793,16.0151,23,0.034589,0.14194
4,232,0.180272,15.8775,14.3879,24,0.036455,0.143816
4,240,0.197741,16.9753,17.2306,17,0.041291,0.15645
4,248,0.206938,15.3582,15.8337,20,0.045658,0.16128
4,256,0.183381,16.977,15.9075,18,0.032343,0.151038
4,264,0.236678,19.5245,21.2406,25,0.039608,0.19707
4,272,0.214009,16.6812,16.1552,25,0.039392,0.174617
4,280,0.198461,14.467,13.4648,22,0.038682,0.159779
4,288,0.255931,17.0977,17.4756,25,0.052321,0.20361
4,296,0.2595,17.243,17.8571,42,0.040025,0.219476
4,304,0.179305,17.4821,17.1313,33,0.027657,0.151648
4,312,0.19619,14.441,15.0032,28,0.039141,0.157049
4,320,0.258235,17.1499,18.2811,24,0.042392,0.215843
4,328,0.22334,19.2352,19.3387,36,0.042178,0.181162
4,336,0.201175,16.8668,17.4722,31,0.041411,0.159764
4,344,0.240336,20.0371,20.0871,19,0.042267,0.198069
4,352,0.230861,14.2188,14.4101,14,0.046148,0.184713
4,360,0.192052,15.8229,15.0201,20,0.040869,0.151184
4,368,0.172069,14.4274,15.035,16,0.032923,0.139146
4,376,0.226303,15.6333,15.4682,21,0.046626,0.179677
4,384,0.186157,16.3136,15.5174,20,0.033965,0.152192
4,392,0.340621,18.9653,19.3571,2,0.063644,0.276977
